"id";"updatedAt";"createdAt";"name";"description";"abvAvg";"abvMax";"abvMin";"ebcAvg";"ebcMax";"ebcMin";"tasteFruity";"tasteBitter";"tasteIntensity";"tasteSour";"tasteSweet";"originId";"originName";"categoryId";"categoryName";"biabCategoryId";"biabCategoryName"
"33";"2021-07-01 13:40:30 +0200";"2021-02-22 13:50:45 +0100";"Engelse IPA";"De Britse IPA is waar het oorspronkelijk begonnen is met deze stijl. Deze IPA bevat Britse ingredienten waardoor je iets meer van het fruitige gistprofiel zal proeven (vaak appel of peer), de hop-aroma's zijn kruidig en er zitten wat meer brood-achtige tonen in.";"6";"7.5";"5.0";"20";"28";"12";"5";"8";"7";"0";"3";"19";"Groot Brittanië";"486";"Lichtgekleurd, hoog alcohol";"15";"Bitter & Growl"
"36";"2021-03-10 16:00:51 +0100";"2021-02-22 13:50:45 +0100";"NEIPA";"Een Amerikaanse IPA met intense fruit-smaken en -aroma's. De body is zacht en romig, en het bier is vaak troebel. Het bier komt minder bitter over dan de Amerikaanse IPA, maar er zit wel enorm veel hop in. Bij de New England IPA (of NEIPA) ligt de nadruk van de hop vooral aan het einde van de kook en in het dryhoppen, wat die extreem fruitige smaken met zich meebrengt.";"7";"9.0";"6.0";"10";"14";"6";"9";"2";"5";"0";"5";"1";"Amerika";"486";"Lichtgekleurd, hoog alcohol";"6";"Fris & Fruitig"
"39";"2021-02-22 13:50:45 +0100";"2021-02-22 13:50:45 +0100";"Amerikaans Tarwebier";"Een variant op de IPA (droog, blond, bitter en hoppig) waarbij tarwe een belangrijk onderdeel van het smaakprofiel is. Tarwe geeft bier een wazigheid mee en een licht-zurige smaak af. Je kunt een White IPA zien als een hoppig witbier. Iets zoeter en troebeler dan een IPA, of flink hoppiger dan een witbier.";"6";"7.0";"5.5";"13";"16";"10";"6";"5";"5";"2";"4";"1";"Amerika";"486";"Lichtgekleurd, hoog alcohol";"15";"Bitter & Growl"
"42";"2021-02-25 11:08:33 +0100";"2021-02-22 13:50:45 +0100";"NE IPA";"Een Amerikaanse IPA met intense fruit-smaken en -aroma's. De body is zacht en romig, en het bier is vaak troebel. Het bier komt minder bitter over dan de Amerikaanse IPA, maar er zit wel enorm veel hop in. Bij de New England IPA (of NEIPA) ligt de nadruk van de hop vooral aan het einde van de kook en in het dryhoppen, wat die extreem fruitige smaken met zich meebrengt.";"7";"9.0";"6.0";"10";"14";"6";"9";"2";"5";"0";"5";"1";"Amerika";"486";"Lichtgekleurd, hoog alcohol";"6";"Fris & Fruitig"
"45";"2021-02-22 13:50:45 +0100";"2021-02-22 13:50:45 +0100";"Vienna Lager";"De tegenhanger van de Munich Dunkel uit Oostenrijk, vernoemd naar de mout waarmee het gebrouwen wordt; Viennamout. De smaak iets minder intens en iets lichter dan een Munich Dunkel, maar verder vergelijkbaar; Een ondergistende gefilterde bierstijl met een intens moutig/broodachtige smaak. Het bier is niet zoet en hop- en gist-aroma's blijven op de achtergrond. De verschillen komen voort uit de iets lichtere kleur en smaak van de Vienna-mout.";"5";"5.5";"4.7";"24";"30";"18";"1";"3";"3";"0";"1";"52";"Oostenrijk";"483";"Lichtgekleurd, laag alcohol";"3";"Blond & Krachtig"
"48";"2021-02-25 11:08:35 +0100";"2021-02-22 13:50:45 +0100";"Gose - Fruited";"Fruit zoals kersen, frambozen of steenfruit wordt toegevoegd aan een Gose; een traditionele Duitse bierstijl welke in de basis wat wegheeft van de Berliner Weisse; lichtgekleurd, laag in alcohol, hoog in koolzuur en een verfrissend zuurtje. Verder wordt aan de Gose koriander toegevoegd en heeft het een ziltige toets door toevoeging van zout of door het brouwwater wat gebruikt wordt.";"4";"4.8";"4.2";"7";"8";"6";"7";"2";"8";"9";"1";"7";"Duitsland";"483";"Lichtgekleurd, laag alcohol";"12";"Wild & Zuur"
"51";"2021-02-22 13:50:45 +0100";"2021-02-22 13:50:45 +0100";"Milkshake DIPA";"Een zwaardere variant van de Milkshake IPA (zoet, blond, romig, hoppig, soms met fruit) met meer hop, meer mout en dus meer alcohol en meer smaak.";"9";"11.0";"8.0";"20";"30";"10";"7";"1";"8";"0";"10";"1";"Amerika";"486";"Lichtgekleurd, hoog alcohol";"6";"Fris & Fruitig"
"54";"2021-02-22 13:50:45 +0100";"2021-02-22 13:50:45 +0100";"Berliner Weisse";"Een zeer lichtgekleurd, laag alcoholisch en verfrissend Duits tarwebier. Er zit veel koolzuur en een uitgesproken melkzuurtje in.";"3";"3.8";"2.8";"5";"6";"4";"5";"2";"8";"9";"1";"7";"Duitsland";"483";"Lichtgekleurd, laag alcohol";"12";"Wild & Zuur"
"57";"2021-02-22 13:50:46 +0100";"2021-02-22 13:50:46 +0100";"Kölsch";"Een bovengistend Duits biertype uit Keulen met een neutrale tot moutige geur die soms subtiel fruitig kan zijn. De smaak is droog, soms licht hoppig en soms heel licht kruidig. Mooie balans en hoge doordrinkbaarheid. Is dus bovengistend maar kan aan een ondergistend bier doen denken, omdat deze op relatief lage temperatuur vergist wordt.";"4";"5.2";"4.4";"8";"10";"7";"3";"5";"4";"0";"2";"7";"Duitsland";"483";"Lichtgekleurd, laag alcohol";"3";"Blond & Krachtig"
"60";"2021-02-25 11:08:37 +0100";"2021-02-22 13:50:46 +0100";"Dubbele Stout";"Een gitzwart bier met intens geroosterde moutige smaken zoals koffie, cacao, geroosterd brood en karamel. Ook kunnen er smaken van gedroogd fruit in voorkomen. De body is vol en de alcohol verwarmt. De afdronk is bitter en zoet, net als de basis-smaak. Ondanks alle heftige smaken moet het bier wel zeker in balans zijn. Een zeer intens bier om rustig van te genieten. In de Amerikaanse variant zijn vaak wat meer (Amerikaanse) hoppen toegevoegd, de hoppigheid kan ook zeker terugkomen in de smaak.";"10";"12.0";"8.0";"79";"99";"59";"0";"8";"9";"0";"4";"1";"Amerika";"489";"Donkergekleurd, hoog alcohol";"18";"Intens & Uitdagend"
"63";"2021-02-22 13:50:46 +0100";"2021-02-22 13:50:46 +0100";"Black DIPA";"Een zwaardere variant op de Black IPA (droog, donker, bitter, licht roasty en hoppig). Meer hop, meer mout en dus meer alcohol en meer smaak. Het bier moet nog wel doordrinkbaar zijn.";"8";"10.0";"7.5";"80";"100";"60";"6";"8";"8";"1";"3";"1";"Amerika";"489";"Donkergekleurd, hoog alcohol";"18";"Intens & Uitdagend"
"66";"2021-02-22 13:50:46 +0100";"2021-02-22 13:50:46 +0100";"Milkstout";"Een zwart bier met in de smaak veel invloeden van de gebruikte mouten; geroosterde smaken, koffie, cacao, maar ook veel tonen van karamel. Om de moutbitters wat af te vlakken is aan dit bier lactose toegevoegd, wat een lichte zoetigheid en een romig mondgevoel aan het bier geeft. Balans is hier zeker wel belangrijk, het bier hoort niet overdreven zoet te zijn.";"5";"6.0";"4.0";"69";"79";"59";"0";"4";"5";"0";"5";"19";"Groot Brittanië";"492";"Donkergekleurd, laag alcohol";"18";"Intens & Uitdagend"
"69";"2021-02-22 13:50:46 +0100";"2021-02-22 13:50:46 +0100";"Amber Lager";"Een droge, moutige, amberkleurige lager met geuren en smaken van karamel en een beetje toast. De bitterheid is laag en op de achtergrond. Het bier is fijn en makkelijk doordrinkbaar.";"5";"6.0";"4.6";"21";"28";"14";"1";"5";"4";"0";"3";"34";"Tsjechië";"483";"Lichtgekleurd, laag alcohol";"24";"Donker & Elegant"
"72";"2021-07-01 13:40:57 +0200";"2021-02-22 13:50:46 +0100";"Amerikaanse IPA";"Een hoppig, bitter redelijke sterke Amerikaanse Pale Ale waarin Amerikaanse en ""new world"" hoppen sterk in naar voren komen. De balans is richting hoppig, je proeft geen gistinvloeden, de afdronk is droog en de mout is daar slechts op de hoppen de juiste ondersteuning te geven.";"6";"7.5";"5.5";"20";"28";"12";"7";"7";"6";"0";"2";"1";"Amerika";"486";"Lichtgekleurd, hoog alcohol";"15";"Bitter & Growl"
"75";"2021-02-22 13:50:46 +0100";"2021-02-22 13:50:46 +0100";"Amerikaans Wild Bier";"Een zure en/of funky variant van een basis-stijl bier.";"8";"15.0";"2.5";"50";"100";"0";"6";"2";"8";"7";"1";"1";"Amerika";"480";"Overige stijlen of fermentaties";"12";"Wild & Zuur"
"78";"2021-02-25 11:08:35 +0100";"2021-02-22 13:50:47 +0100";"Kristalweizen";"Een bovengistend Duits tarwebier met uitgesproken fruitige smaken van de gist die vaak met banaan geassocieerd worden. Verder is kruidnagel vaak waarneembaar. Het bier is fris en eenvoudig drinkbaar. De kristallweizen is het heldere broertje van de hefeweizen, waarbij de helderheid vaak door filtratie verkregen wordt.";"5";"5.6";"4.9";"12";"18";"6";"6";"4";"4";"2";"5";"7";"Duitsland";"483";"Lichtgekleurd, laag alcohol";"6";"Fris & Fruitig"
"81";"2021-02-25 11:08:40 +0100";"2021-02-22 13:50:47 +0100";"Sour - overig";"Zuur bier wat niet in een specifieke stijl valt in te delen. Het bier is zuur door gebruik van zuurmout, melkzuur(bacteriën), specifieke gistculturen of kettle souring.";"7";"12.0";"2.5";"51";"99";"4";"7";"3";"8";"8";"1";"25";"Internationaal";"480";"Overige stijlen of fermentaties";"12";"Wild & Zuur"
"84";"2021-02-22 13:50:47 +0100";"2021-02-22 13:50:47 +0100";"Dunkelweizen";"Een donkergekleurde variant van de weizen; bovengistend Duits tarwebier met uitgesproken fruitige smaken van de gist die vaak met banaan geassocieerd worden. Verder is kruidnagel vaak waarneembaar. Het bier is fris, troebel van de gebruikte tarwe en eenvoudig drinkbaar. Aan de dunkelweizen zijn ook caramouten toegevoegd. Hierdoor kleurt het bier wat donkerder dan een traditionele weizen, en is het bier wat zoeter met subtiele tonen van karamel.";"4";"5.6";"4.3";"62";"80";"45";"5";"2";"5";"1";"5";"7";"Duitsland";"492";"Donkergekleurd, laag alcohol";"24";"Donker & Elegant"
"87";"2021-03-09 12:01:18 +0100";"2021-02-22 13:50:48 +0100";"Tripel";"Een bovengistend complex blond Belgisch biertype, zoet met een klein bittertje. De smaak is een samenspel van kruidige, fruitige en alcoholische smaken, ondersteund door een zachte moutigheid.";"8";"9.5";"7.5";"11";"14";"9";"7";"5";"5";"1";"7";"31";"België";"486";"Lichtgekleurd, hoog alcohol";"3";"Blond & Krachtig"
"90";"2021-02-22 13:50:48 +0100";"2021-02-22 13:50:48 +0100";"Red Ale";"Een bovengistend bier met een dieprode kleur. De meest aanwezige smaak is karamelmout, maar er is zeker balans met de moutbitter. Gistprofiel is vaak niet aanwezig, mondgevoel is droog tot vol.";"5";"6.2";"3.8";"26";"34";"18";"3";"5";"5";"1";"5";"25";"Internationaal";"483";"Lichtgekleurd, laag alcohol";"21";"Donker & Rijk"
"93";"2021-02-25 11:08:37 +0100";"2021-02-22 13:50:48 +0100";"Dubbele Haverstout";"Een zware en intense variant van de oatmeal stoutl; een zwart bier met in de smaak veel invloeden van de gebruikte mouten; geroosterde smaken, koffie, cacao, maar ook tonen van karamel. Door het gebruik van haver(mout) krijgt het bier een wat romiger mondgevoel en een dikkere body. Hierdoor kan het bier iets zoeter ervaren worden.";"9";"12.0";"6.0";"79";"99";"59";"0";"4";"7";"0";"3";"1";"Amerika";"489";"Donkergekleurd, hoog alcohol";"18";"Intens & Uitdagend"
"96";"2021-02-22 13:50:48 +0100";"2021-02-22 13:50:48 +0100";"Amerikaanse Porter";"Een donkergekleurd moutig bier waarbij de basis van de smaak uit de mouten komt; lichte roast-tonen en karamel. Het bier is mooi vol en soepel. De Amerikaanse variant is wat bitterder dan zijn Engelse broertje.";"5";"6.5";"4.8";"61";"79";"44";"2";"6";"6";"0";"5";"1";"Amerika";"492";"Donkergekleurd, laag alcohol";"18";"Intens & Uitdagend"
"99";"2021-02-22 13:50:48 +0100";"2021-02-22 13:50:48 +0100";"Faro";"Een bier van spontane gisting, geproduceerd in de Zenne-vallei rondom Brussel. Het wordt gebrouwen met een groot deel tarwe, en door de spontane gisting is het bier licht-zurig van smaak. Hop-bitterheid is moeilijk tot niet waarneembaar. Het bier is lichtgekleurd en heeft allerlei ""funky"" aroma's en smaken. Een faro is vaak een mengeling van verschillende jaren lambiek, wat aangezoet wordt, om de zuren iets te verdrukken. Het is een stijl die ontwikkeld is door lambiekbrouwers om tijdens de opmars van Coca Cola nog in leven te kunnen blijven, omdat de voorkeur voor dranken voornamelijk zoet was.";"6";"8.0";"5.0";"10";"14";"6";"5";"0";"9";"5";"1";"31";"België";"486";"Lichtgekleurd, hoog alcohol";"12";"Wild & Zuur"
"102";"2021-02-22 13:50:49 +0100";"2021-02-22 13:50:49 +0100";"Overig";"Alle overige bierstijlen.";"7";"15.0";"0.0";"52";"100";"4";"5";"5";"5";"1";"5";"25";"Internationaal";"480";"Overige stijlen of fermentaties";"27";"Overig"
"105";"2021-02-22 13:50:49 +0100";"2021-02-22 13:50:49 +0100";"Speciale Belge";"Een licht moutig, fruitig en gemakkelijk doordrinkbaar Belgisch biertype. De kleur is donkerblond tot koper, de smaak is licht biscuit met fruitige toetsen van de gist. Het bier is lichtzoet en heeft weinig bitters.";"5";"5.5";"4.8";"22";"28";"16";"3";"3";"4";"1";"3";"31";"België";"483";"Lichtgekleurd, laag alcohol";"3";"Blond & Krachtig"
"108";"2021-02-22 13:50:49 +0100";"2021-02-22 13:50:49 +0100";"Belgische Brown Ale";"Een Belgische variant van de brown ale, deze wordt niet zozeer gedomineerd door de mouten maar is voornamelijk ook fris en fruitig van de Belgische gist. Niet hoppig, makkelijk drinkbaar, lichtzoet en soepel.";"6";"7.0";"5.0";"37";"45";"30";"3";"3";"5";"1";"5";"31";"België";"489";"Donkergekleurd, hoog alcohol";"21";"Donker & Rijk"
"111";"2021-02-22 13:50:49 +0100";"2021-02-22 13:50:49 +0100";"TIPA";"Een zwaarde variant van de Double IPA (droog, blond, bitter, sterk en hoppig) waarin alles ""tripel"" is. Het bier is bitterder, hoppiger, sterker en fruitiger dan een double IPA, maar ook hier moet de doordrinkbaarheid nog goed zijn.";"10";"12.0";"9.0";"22";"35";"10";"7";"9";"8";"0";"4";"1";"Amerika";"486";"Lichtgekleurd, hoog alcohol";"15";"Bitter & Growl"
"114";"2021-02-25 11:08:39 +0100";"2021-02-22 13:50:49 +0100";"Stout - pastry";"Een Imperial Stout waarbij een toetje wordt nagebootst. De hoofdingrediënten van dat dessert worden dan aan het bier toegevoegd. Daarnaast is een pastrystout vaak erg zoet, om het gevoel van een dessert na te bootsen. Verder is het dus een gitzwart bier met intens geroosterde moutige smaken zoals koffie, cacao, geroosterd brood en karamel. In een pastrystout zal je merken dat de toevoegingen (ook wel adjuncts genoemd) de overhand nemen in de smaak, waardoor de smaak niet altijd in balans is. Dat is oke in deze stijl. De body is zeer vol en de alcohol verwarmt.";"10";"12.0";"8.0";"79";"99";"59";"0";"2";"9";"0";"10";"1";"Amerika";"489";"Donkergekleurd, hoog alcohol";"18";"Intens & Uitdagend"
"117";"2021-02-22 13:50:49 +0100";"2021-02-22 13:50:49 +0100";"Milkshake IPA";"Een moderne stijl en variant op de IPA (droog, donker, bitter, en hoppig) maar dan minder droog en minder bitter. De Milkshake IPA kenmerkt zich door de toevoeging van lactose, wat het bier vol en zoet maakt. Het is dus een zoet, blond en zeer hoppig bier, soms met fruit als toevoeging.";"6";"7.5";"5.5";"17";"24";"10";"6";"1";"7";"0";"9";"1";"Amerika";"486";"Lichtgekleurd, hoog alcohol";"6";"Fris & Fruitig"
"120";"2021-02-22 13:50:49 +0100";"2021-02-22 13:50:49 +0100";"California Steam";"Een hoppig, bitter amberkleurig bier uit California. Het unieke van dit bier is dat het met een lagergist vergist wordt op temperaturen van een bovengist. Dit zorgt voor een rijke moutigheid en een subtiele fruitigheid van de gist. De gebruikte Amerikaanse hoppen complimenteren hieraan.";"5";"5.5";"4.5";"28";"35";"22";"3";"5";"5";"0";"2";"1";"Amerika";"483";"Lichtgekleurd, laag alcohol";"15";"Bitter & Growl"
"123";"2021-02-25 11:08:41 +0100";"2021-02-22 13:50:49 +0100";"Engelse Porter";"Een donkergekleurd moutig bier waarbij de basis van de smaak uit de mouten komt; lichte roast-tonen en karamel. Het bier is mooi vol en soepel. Omdat het bier van Britse komaf is, worden Britse ingrediënten gebruikt, waardoor deze porter een mooie moutigheid en subtiele fruitigheid heeft.";"4";"5.4";"4.0";"49";"59";"40";"1";"3";"5";"0";"4";"19";"Groot Brittanië";"492";"Donkergekleurd, laag alcohol";"18";"Intens & Uitdagend"
"126";"2021-02-25 11:15:37 +0100";"2021-02-22 13:50:49 +0100";"Cider - droog";"Een droge variant van de cider; een drank van vergiste sap van appels. De smaak varieert vaak door het gebruikte appelras, de gebruikte gist en het proces. Door niet aan te zoeten of het vergistingsproces niet te onderbreken, vergist dit bier mooi uit wat voor een droge frisse afdronk zorgt.";"7";"9.0";"6.0";"12";"20";"4";"5";"3";"7";"2";"1";"25";"Internationaal";"480";"Overige stijlen of fermentaties";"6";"Fris & Fruitig"
"129";"2021-03-09 12:01:27 +0100";"2021-02-22 13:50:50 +0100";"Blond";"Een blond bier van gemiddelde sterkte, de complexiteit van de Belgische gist is duidelijk aanwezig, dan ruik en proef je aan het subtiele kruidig/fruitige aroma. Heeft een lichte moutige zoetigheid, body is goed doordrinkbaar en het bier trekt droog weg.";"6";"7.5";"6.0";"11";"14";"8";"4";"4";"4";"1";"5";"31";"België";"486";"Lichtgekleurd, hoog alcohol";"3";"Blond & Krachtig"
"132";"2021-02-25 11:08:41 +0100";"2021-02-22 13:50:50 +0100";"Winterwarmer";"Een donker, krachtig en gekruid bier met een volle, romige body dat een fijn verwarmend gevoel moet geven. Het is een bier wat goed bij de wintermaanden past, en het hogere alcoholgehalte zorgt er wel voor dat je er warmpjes bij zit.";"9";"12.0";"6.5";"47";"79";"16";"4";"3";"6";"1";"7";"25";"Internationaal";"489";"Donkergekleurd, hoog alcohol";"21";"Donker & Rijk"
"135";"2021-02-22 13:50:50 +0100";"2021-02-22 13:50:50 +0100";"Weizenbock";"Een variant op het standaard bockbier waarbij meer dan 50% tarwe wordt gebruikt in de moutstort. Hierdoor krijg het bier een voller mondgevoel, een troebelheid en een zeer licht (soms bijna niet waarneembaar) zuurtje.";"7";"8.0";"6.0";"60";"80";"40";"3";"1";"5";"1";"6";"7";"Duitsland";"489";"Donkergekleurd, hoog alcohol";"6";"Fris & Fruitig"
"138";"2021-02-22 13:50:50 +0100";"2021-02-22 13:50:50 +0100";"Vlaams Rood";"Een dieprood tot bruingekleurd Belgisch bier verkregen uit gemengde gisting en gerijpt op hout en/of RVS. De kleur wordt verkregen door gebruik van donkere mouten, de smaak is (licht) zuur, verfrissend en hoog in complexiteit.";"5";"6.5";"4.6";"26";"32";"20";"7";"3";"8";"7";"3";"31";"België";"483";"Lichtgekleurd, laag alcohol";"12";"Wild & Zuur"
"141";"2021-02-25 11:08:42 +0100";"2021-02-22 13:50:50 +0100";"Belgisch Blond";"Een blond bier van gemiddelde sterkte, de complexiteit van de Belgische gist is duidelijk aanwezig, dan ruik en proef je aan het subtiele kruidig/fruitige aroma. Heeft een lichte moutige zoetigheid, body is goed doordrinkbaar en het bier trekt droog weg.";"6";"7.5";"6.0";"11";"14";"8";"4";"4";"4";"1";"5";"31";"België";"486";"Lichtgekleurd, hoog alcohol";"3";"Blond & Krachtig"
"144";"2021-02-22 13:50:50 +0100";"2021-02-22 13:50:50 +0100";"Roggebier";"Een interpretatie van een andere bierstijl waarin een groot deel rogge is gebruikt. Vaak worden deze bieren ingedeeld in hun eigen stijl in plaats van dat ze als roggebier aangemerkt worden. Naarmate de hoeveelheid rogge in het bier toeneemt, zal de body toenemen en het mondgevoel romiger worden.";"5";"8.0";"2.5";"31";"59";"4";"5";"5";"5";"2";"5";"25";"Internationaal";"492";"Donkergekleurd, laag alcohol";"24";"Donker & Elegant"
"147";"2021-02-25 11:08:42 +0100";"2021-02-22 13:50:50 +0100";"Dubbele Milkstout";"Een zwart bier met in de smaak veel invloeden van de gebruikte mouten; geroosterde smaken, koffie, cacao, maar ook veel tonen van karamel. Om de moutbitters wat af te vlakken is aan dit bier lactose toegevoegd, wat een lichte zoetigheid en een romig mondgevoel aan het bier geeft. Balans is hier zeker wel belangrijk, het bier hoort niet overdreven zoet te zijn. De imperial-versie heeft intensere smaken en een hoger alcoholpercentage.";"10";"12.0";"8.0";"79";"99";"59";"0";"5";"7";"0";"9";"1";"Amerika";"489";"Donkergekleurd, hoog alcohol";"18";"Intens & Uitdagend"
"150";"2021-02-22 13:50:51 +0100";"2021-02-22 13:50:51 +0100";"Gruit";"Historisch bier gebrouwen met gruit; een kruidenmengsel met onder andere gagel, moerasrozemarijn, laurier etc. De gagel werd gebruikt als alternatief voor de hop (die was toen nog niet ontdekt) om het bier bitterheid te geven. Omdat het bier kort houdbaar was vanwege het gebrek aan hop, moest het snel geconsumeerd worden.";"8";"11.0";"6.0";"30";"50";"10";"3";"2";"6";"2";"7";"55";"Nederland";"480";"Overige stijlen of fermentaties";"21";"Donker & Rijk"
"153";"2021-03-09 12:01:35 +0100";"2021-02-22 13:50:51 +0100";"Quadrupel";"Een bovengistend, zwaar, donker volmoutig biertype met een complexe, zwaar alcoholwarmende smaak. Het is een soort zware versie van een dubbel abdij/trappist type bier.";"11";"14.2";"9.0";"52";"72";"32";"4";"3";"7";"1";"8";"31";"België";"489";"Donkergekleurd, hoog alcohol";"21";"Donker & Rijk"
